iter	MultiClass
0	2.333000484
1	2.155602096
2	2.018838551
3	1.903002431
4	1.805217917
5	1.722360684
6	1.646004638
7	1.575704817
8	1.513499273
9	1.454703521
10	1.399982824
11	1.349180115
12	1.303489578
13	1.260274439
14	1.220688263
15	1.183666224
16	1.15193499
17	1.118893556
18	1.088487824
19	1.060733392
20	1.033216046
21	1.008672328
22	0.9857420507
23	0.9632544969
24	0.9425386295
25	0.9222592649
26	0.9035355098
27	0.8852209449
28	0.8658974625
29	0.8479512465
30	0.8313911317
31	0.8194687623
32	0.8033467138
33	0.7884898141
34	0.7740197793
35	0.7571162628
36	0.743727341
37	0.729368925
38	0.7173950705
39	0.7066138548
40	0.6946656405
41	0.6826690725
42	0.6721250086
43	0.6608809432
44	0.6527265789
45	0.6424235563
46	0.6330204618
47	0.622928323
48	0.6145497968
49	0.6067219911
50	0.5982347092
51	0.5908230865
52	0.5835329768
53	0.5751343416
54	0.5672601155
55	0.5591074675
56	0.5525956688
57	0.5459888233
58	0.5390969658
59	0.5350041594
