iter	Passed	Remaining
0	16	990
1	32	945
2	48	920
3	64	907
4	81	891
5	97	875
6	113	859
7	129	842
8	145	825
9	161	809
10	178	795
11	193	774
12	208	754
13	225	740
14	240	722
15	256	704
16	271	685
17	287	670
18	303	654
19	318	636
20	333	618
21	348	601
22	363	583
23	377	566
24	394	552
25	409	535
26	423	518
27	441	505
28	457	489
29	472	472
30	487	455
31	501	438
32	516	422
33	532	407
34	547	390
35	562	374
36	576	358
37	591	342
38	607	326
39	622	311
40	637	295
41	652	279
42	667	263
43	682	248
44	698	232
45	713	217
46	727	201
47	742	185
48	758	170
49	772	154
50	787	139
51	802	123
52	818	108
53	834	92
54	848	77
55	863	61
56	877	46
57	892	30
58	907	15
59	924	0
